כתובת,קו רוחב,קו אורך,שכונה,ביקרנו
הרב ריינס ירושלים,31.7903429,35.1940735,Givat Shaul,לא
חירם ירושלים,31.7929006,35.2077533,Romema,לא
שמעון הצדיק ירושלים,31.7936774,35.2267396,Maalot Dafna,לא
הצפירה ירושלים,31.7652455,35.2169752,German Colony,לא
מצפה ירושלים,31.6878889,34.5747692,Barne'a,לא
קדרון ירושלים,31.7147847,35.0009181,Ramat Bet Shemesh A,לא
שמחה הולצברג ירושלים,31.8346379,35.2327692,Beit Hanina,לא
ניב דוד ירושלים,31.8194725,35.238751,Shuafat,לא
מזל מאזניים ירושלים,31.8365116,35.2343724,Beit Hanina,לא
יושע מאיר ירושלים,31.8183814,35.247599,Pisgat Ze'ev,לא
השישה ירושלים,31.8281698,35.2438863,Pisgat Ze'ev,לא
גבירצמן ירושלים,31.8199206,35.2492867,Pisgat Ze'ev,לא
קצנלבוגן ירושלים,31.7852472,35.175822,Yefe Nof,לא
בן זאב ישראל ירושלים,31.8161261,35.1914624,Ramot,לא
אם הבנים ירושלים,31.8149967,35.1920512,Ramot,לא
הטייסים ירושלים,31.7651179,35.2069973,Old Katamon,לא
המעפילים ירושלים,31.7629148,35.206351,San Simon,לא
תל חי ירושלים,31.7652198,35.2137071,Greek Colony,לא
שמעוני ירושלים,31.7619685,35.2007791,Rassco,לא
