כתובת,קו רוחב,קו אורך,שכונה,ביקרנו
האיילות ירושלים,,,לא,
ויקטור יוליס ירושלים,,,לא,
"ל""ה 15 ירושלים",31.76578,35.21032,,לא
רשבג ירושלים,31.75531,35.20860,,לא
משען בית אבות ירושלים,31.76080,35.21249,,לא
יוחנן בן זכאי ירושלים,31.75920,35.20946,,לא
דוסיתאי ירושלים,31.76029,35.20865,,לא
בגאיו חיים ירושלים,31.76419,35.21584,,לא
הרב אליעזרי ירושלים,31.76636,35.18887,,לא
בית אונגר מאה שערים ירושלים,31.78694,35.22453,,כן
המלך גורג ירושלים,31.77967,35.21580,,לא
גולדין היר ירושלים,31.80445,35.23767,,לא
קדרון ירושלים,,,לא,
נווה שאנן ירושלים,31.77203,35.20090,,לא
